"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-01","5.14"," 1551"," 1514","0.00",,"0.0","0.0",,"50","31",,"  330","  320","15.0","19.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-02","8.50"," 1325"," 1324","0.00",,"0.0","0.0",,"34","19",,"  310","  300","17.9","25.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-03","7.16"," 1600"," 1601","0.00",,"0.0","0.0",,"34","15",,"  310","  310","16.1","21.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-04","7.16"," 2000"," 2000","0.00",,"0.0","0.0",,"38","17",,"  330","  320","14.1","17.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-05","6.71"," 1632"," 1516","0.00",,"0.0","0.0",,"38","16",,"  300","  340","15.0","23.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-06","5.82"," 1400"," 1207","0.00",,"0.0","0.0",,"41","18",,"  310","  310","13.0","19.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-07","6.71"," 2236"," 2231","0.01",,"0.0","0.0",,"47","15",,"  230","  220","21.9","30.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-08","9.62"," 1333"," 1214","0.00",,"0.0","0.0",,"36","20",,"  360","  350","17.9","25.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-09","7.61"," 1038"," 1241","0.00",,"0.0","0.0",,"37","16",,"  350","  350","17.0","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-10","4.92"," 1504"," 1353","0.00",,"0.0","0.0",,"39","17",,"  330","  330","12.1","16.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-01-11","4.25"," 1226"," 1225","0.00",,"0.0","0.0",,"45","15",,"  190","  190","16.1","19.9"
